timestamp,x1,y1,tx1,ty1,action
29,0,0,0,2,d
0,0,0,0,3,d
1,0,0,0,3,d
2,0,0,0,3,d
3,0,0,0,3,d
4,0,0,0,3,d
5,0,0,0,3,d
6,0,0,0,3,l
7,0,0,0,3,l
8,0,0,0,3,d
9,0,0,0,3,r
10,0,0,0,3,d
11,0,0,0,3,r
12,0,0,0,3,d
13,0,0,0,3,d
14,0,0,0,3,d
15,0,0,0,3,d
16,0,0,0,3,l
17,0,0,0,3,d
18,0,0,0,3,d
19,0,0,0,3,l
20,0,0,0,3,d
21,0,0,0,3,d
22,0,0,0,3,l
23,0,0,0,3,d
24,0,0,0,3,d
25,0,0,0,3,r
26,0,0,0,3,d
27,0,0,0,3,d
28,0,0,0,3,l
29,0,0,0,3,d
0,0,0,0,4,d
1,0,0,0,4,d
2,0,0,0,4,d
3,0,0,0,4,r
4,0,0,0,4,d
5,0,0,0,4,d
6,0,0,0,4,d
7,0,0,0,4,d
8,0,0,0,4,d
9,0,0,0,4,r
10,0,0,0,4,d
11,0,0,0,4,l
12,0,0,0,4,r
13,0,0,0,4,d
14,0,0,0,4,d
15,0,0,0,4,d
16,0,0,0,4,d
17,0,0,0,4,d
18,0,0,0,4,d
19,0,0,0,4,d
20,0,0,0,4,d
21,0,0,0,4,d
22,0,0,0,4,d
23,0,0,0,4,d
24,0,0,0,4,l
25,0,0,0,4,d
26,0,0,0,4,d
27,0,0,0,4,d
28,0,0,0,4,d
29,0,0,0,4,d
0,0,0,0,5,d
1,0,0,0,5,d
2,0,0,0,5,l
3,0,0,0,5,l
4,0,0,0,5,d
5,0,0,0,5,d
6,0,0,0,5,d
7,0,0,0,5,d
8,0,0,0,5,d
9,0,0,0,5,d
10,0,0,0,5,d
11,0,0,0,5,d
12,0,0,0,5,d
13,0,0,0,5,r
14,0,0,0,5,l
15,0,0,0,5,l
16,0,0,0,5,d
17,0,0,0,5,d
18,0,0,0,5,d
19,0,0,0,5,d
20,0,0,0,5,d
21,0,0,0,5,d
22,0,0,0,5,r
23,0,0,0,5,d
24,0,0,0,5,d
25,0,0,0,5,d
26,0,0,0,5,d
27,0,0,0,5,d
28,0,0,0,5,d
29,0,0,0,5,d
0,0,0,1,0,r
1,0,0,1,0,r
2,0,0,1,0,r
3,0,0,1,0,r
4,0,0,1,0,d
5,0,0,1,0,r
6,0,0,1,0,u
7,0,0,1,0,r
8,0,0,1,0,r
9,0,0,1,0,r
10,0,0,1,0,r
11,0,0,1,0,r
12,0,0,1,0,r
13,0,0,1,0,r
14,0,0,1,0,u
15,0,0,1,0,r
16,0,0,1,0,r
17,0,0,1,0,u
18,0,0,1,0,u
19,0,0,1,0,r
20,0,0,1,0,r
21,0,0,1,0,d
22,0,0,1,0,d
23,0,0,1,0,r
24,0,0,1,0,r
25,0,0,1,0,r
26,0,0,1,0,r
27,0,0,1,0,d
28,0,0,1,0,r
29,0,0,1,0,r
0,0,0,1,1,d
1,0,0,1,1,r
2,0,0,1,1,r
3,0,0,1,1,r
4,0,0,1,1,d
5,0,0,1,1,r
6,0,0,1,1,r
7,0,0,1,1,r
8,0,0,1,1,d
9,0,0,1,1,d
10,0,0,1,1,d
11,0,0,1,1,r
12,0,0,1,1,r
13,0,0,1,1,r
14,0,0,1,1,r
15,0,0,1,1,r
16,0,0,1,1,l
17,0,0,1,1,l
18,0,0,1,1,d
19,0,0,1,1,l
20,0,0,1,1,d
21,0,0,1,1,d
22,0,0,1,1,r
23,0,0,1,1,d
24,0,0,1,1,d
25,0,0,1,1,u
26,0,0,1,1,r
27,0,0,1,1,u
28,0,0,1,1,d
29,0,0,1,1,l
0,0,0,1,2,d
1,0,0,1,2,r
2,0,0,1,2,r
3,0,0,1,2,d
4,0,0,1,2,r
5,0,0,1,2,r
6,0,0,1,2,d
7,0,0,1,2,d
8,0,0,1,2,d
9,0,0,1,2,r
10,0,0,1,2,d
11,0,0,1,2,r
12,0,0,1,2,r
13,0,0,1,2,d
14,0,0,1,2,r
15,0,0,1,2,r
16,0,0,1,2,d
17,0,0,1,2,r
18,0,0,1,2,d
19,0,0,1,2,d
20,0,0,1,2,r
21,0,0,1,2,r
22,0,0,1,2,d
23,0,0,1,2,d
