timestamp,x1,y1,tx1,ty1,action
8,5,4,5,5,l
9,5,4,5,5,d
10,5,4,5,5,r
11,5,4,5,5,d
12,5,4,5,5,d
13,5,4,5,5,r
14,5,4,5,5,d
0,5,4,5,6,d
1,5,4,5,6,d
2,5,4,5,6,d
3,5,4,5,6,d
4,5,4,5,6,d
5,5,4,5,6,d
6,5,4,5,6,d
7,5,4,5,6,d
8,5,4,5,6,l
9,5,4,5,6,d
10,5,4,5,6,d
11,5,4,5,6,d
12,5,4,5,6,r
13,5,4,5,6,d
14,5,4,5,6,r
0,5,4,5,7,r
1,5,4,5,7,d
2,5,4,5,7,d
3,5,4,5,7,d
4,5,4,5,7,d
5,5,4,5,7,d
6,5,4,5,7,r
7,5,4,5,7,l
8,5,4,5,7,d
9,5,4,5,7,d
10,5,4,5,7,l
11,5,4,5,7,r
12,5,4,5,7,d
13,5,4,5,7,d
14,5,4,5,7,d
0,5,4,6,0,u
1,5,4,6,0,r
2,5,4,6,0,d
3,5,4,6,0,d
4,5,4,6,0,r
5,5,4,6,0,r
6,5,4,6,0,r
7,5,4,6,0,u
8,5,4,6,0,r
9,5,4,6,0,u
10,5,4,6,0,r
11,5,4,6,0,d
12,5,4,6,0,r
13,5,4,6,0,r
14,5,4,6,0,r
0,5,4,6,1,r
1,5,4,6,1,r
2,5,4,6,1,u
3,5,4,6,1,u
4,5,4,6,1,r
5,5,4,6,1,u
6,5,4,6,1,u
7,5,4,6,1,r
8,5,4,6,1,r
9,5,4,6,1,u
10,5,4,6,1,r
11,5,4,6,1,r
12,5,4,6,1,u
13,5,4,6,1,u
14,5,4,6,1,u
0,5,4,6,2,u
1,5,4,6,2,r
2,5,4,6,2,u
3,5,4,6,2,u
4,5,4,6,2,u
5,5,4,6,2,r
6,5,4,6,2,r
7,5,4,6,2,r
8,5,4,6,2,u
9,5,4,6,2,r
10,5,4,6,2,r
11,5,4,6,2,r
12,5,4,6,2,u
13,5,4,6,2,u
14,5,4,6,2,u
0,5,4,6,3,r
1,5,4,6,3,u
2,5,4,6,3,r
3,5,4,6,3,r
4,5,4,6,3,r
5,5,4,6,3,u
6,5,4,6,3,d
7,5,4,6,3,r
8,5,4,6,3,u
